Temp,Humidity,visibility,air_pressure,Wind_speed,Datetime
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:23:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:24:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:25:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:26:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:27:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:28:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:29:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:30:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:31:47
17°C,Rel.humidity:39%,Visibility:>10000m,Pressure:1022.0mb,Wind: 15  Km/h,17/03/2022 19:32:47
